id,gender,age,education,field_of_studies,is_studying,county,relative_wage,years_since_job_change,years_of_experience,hours_of_training,is_certified,size_of_company,type_of_company,willing_to_change_job
1161,Male,37,higher_BSc,science,no,county_117,163.55,1,16,17,1,10-49,startup_with_funding,No
1162,Male,50,higher_MSc,science,no,county_034,153.28,>4,>20,15,1,1000-4999,private_company,No
1163,Unknown,49,higher_MSc,science,no_information,county_110,163.9,>4,>20,35,1,50-99,private_company,No
1164,Unknown,27,higher_BSc,science,full_time,county_059,110.45,never_changed,7,17,0,unknown,no_information,Yes
1165,Male,36,higher_MSc,science,no,county_027,151.51,2,11,94,1,100-500,private_company,No
1166,Male,23,higher_BSc,science,full_time,county_046,137.35,1,<1,127,0,unknown,no_information,Yes
1167,Male,39,higher_MSc,science,no,county_032,161.6,2,16,80,1,100-500,private_company,No
1168,Male,33,higher_MSc,science,no,county_118,162.84,1,8,30,1,10000+,private_company,No
1169,Unknown,25,secondary,no_information,no,county_110,163.9,unknown,<1,57,0,unknown,no_information,Yes
1170,Unknown,25,higher_BSc,science,full_time,county_066,135.23,2,2,58,0,unknown,no_information,Yes
1171,Male,44,higher_MSc,science,no,county_093,158.77,1,19,62,1,unknown,no_information,No
1172,Unknown,32,higher_MSc,science,full_time,county_007,123.55,3,9,30,1,100-500,private_company,Yes
1173,Unknown,23,higher_BSc,science,full_time,county_110,163.9,never_changed,3,60,0,1000-4999,private_company,No
1174,Male,45,higher_BSc,humanities,no,county_032,161.6,>4,>20,12,1,50-99,private_company,No
1175,Male,26,higher_BSc,other,part_time,county_112,97.35,1,6,23,1,500-999,private_company,Yes
1176,Male,36,higher_BSc,science,part_time,county_118,162.84,1,13,20,1,500-999,startup_with_funding,No
1177,Unknown,27,higher_BSc,science,no,county_059,110.45,2,4,17,1,500-999,NGO,Yes
1178,Male,37,higher_MSc,science,no,county_028,151.34,4,13,70,1,500-999,private_company,No
1179,Male,39,higher_BSc,other,no,county_118,162.84,>4,16,74,0,unknown,no_information,Yes
1180,Male,25,higher_BSc,science,full_time,county_041,157.53,1,3,30,1,100-500,private_company,No
1181,Male,30,higher_BSc,science,no,county_118,162.84,2,8,17,1,10000+,private_company,No
1182,Male,29,secondary,no_information,no,county_075,161.07,2,4,27,0,unknown,no_information,Yes
1183,Male,49,higher_MSc,business,no,county_020,166.2,1,>20,25,1,unknown,no_information,Yes
1184,Male,50,higher_BSc,science,no,county_118,162.84,>4,>20,78,1,10000+,private_company,No
1185,Unknown,26,higher_MSc,science,full_time,county_093,158.77,1,4,51,0,unknown,no_information,Yes
1186,Female,34,higher_BSc,science,full_time,county_082,121.95,>4,14,51,1,unknown,no_information,Yes
1187,Male,27,higher_BSc,other,no,county_118,162.84,2,6,15,1,100-500,private_company,No
1188,Male,24,higher_MSc,science,full_time,county_112,97.35,2,4,37,1,100-500,NGO,Yes
1189,Male,44,higher_MSc,humanities,no,county_075,161.07,>4,>20,34,1,100-500,private_company,No
1190,Unknown,33,higher_BSc,science,no,county_028,151.34,1,9,44,1,10-49,private_company,Yes
1191,Unknown,24,higher_BSc,science,full_time,county_059,110.45,2,2,89,1,10-49,startup_with_funding,No
1192,Male,36,higher_BSc,science,part_time,county_049,158.06,never_changed,16,132,1,<10,private_company,No
1193,Male,49,higher_BSc,science,no,county_074,162.84,1,>20,44,1,50-99,private_company,No
1194,Unknown,27,higher_BSc,business,no,county_118,162.84,2,3,2,1,1000-4999,private_company,No
1195,Male,28,higher_BSc,science,no,county_075,161.07,1,6,14,1,10000+,private_company,No
1196,Male,27,higher_BSc,science,no,county_120,98.77,1,8,21,1,10-49,startup_wo_funding,Yes
1197,Unknown,45,higher_BSc,science,no,county_118,162.84,1,>20,95,1,unknown,no_information,No
1198,Male,27,higher_BSc,science,no,county_118,162.84,4,4,9,1,100-500,private_company,No
1199,Unknown,28,higher_BSc,science,no,county_118,162.84,1,4,27,1,100-500,private_company,No
1200,Other,30,higher_MSc,science,full_time,county_028,151.34,1,8,176,1,10000+,private_company,No
1201,Male,49,higher_MSc,humanities,no,county_118,162.84,>4,>20,92,1,50-99,private_company,No
1202,Male,38,higher_BSc,science,no,county_074,162.84,>4,18,52,1,100-500,private_company,No
1203,Male,26,higher_BSc,science,full_time,county_118,162.84,2,5,14,1,100-500,private_company,No
1204,Unknown,41,higher_MSc,humanities,no,county_108,131.51,unknown,18,17,0,unknown,no_information,Yes
1205,Male,25,secondary,no_information,no,county_110,163.9,1,3,85,0,10-49,private_company,No
1206,Male,28,higher_BSc,science,no,county_122,158.42,1,9,89,1,10-49,private_company,No
1207,Male,22,higher_BSc,science,no,county_059,110.45,1,2,122,1,unknown,no_information,Yes
1208,Male,26,higher_BSc,science,no,county_109,139.65,1,4,10,1,50-99,private_company,No
1209,Male,35,higher_MSc,science,no,county_049,158.06,1,12,42,1,10000+,private_company,No
1210,Male,28,higher_BSc,science,no,county_074,162.84,1,7,21,1,50-99,startup_with_funding,No
1211,Male,27,higher_BSc,business,no,county_059,110.45,1,3,13,1,100-500,NGO,No
1212,Male,27,higher_BSc,science,no,county_096,120.36,2,4,45,1,100-500,private_company,No
1213,Male,30,higher_BSc,science,no,county_045,146.38,4,10,4,0,unknown,no_information,No
1214,Unknown,30,higher_MSc,science,no,county_093,158.77,>4,10,2,1,10-49,private_company,No
1215,Male,30,no_information,no_information,no,county_093,158.77,>4,7,39,1,100-500,private_company,Yes
1216,Male,23,secondary,no_information,full_time,county_117,163.55,2,4,53,0,unknown,no_information,No
1217,Unknown,28,higher_BSc,science,no,county_084,98.24,never_changed,6,4,1,unknown,no_information,Yes
1218,Male,31,higher_BSc,science,no,county_053,166.2,>4,11,84,1,10-49,private_company,No
1219,Male,28,higher_BSc,science,no,county_059,110.45,>4,8,76,1,10000+,private_company,Yes
1220,Female,32,higher_BSc,science,no,county_059,110.45,>4,7,126,1,100-500,private_company,No
1221,Male,36,higher_MSc,science,no,county_118,162.84,4,14,31,1,10000+,private_company,No
1222,Male,40,secondary,no_information,no,county_020,166.2,1,18,196,1,1000-4999,private_company,No
1223,Male,37,higher_MSc,science,no,county_059,110.45,1,16,146,1,100-500,private_company,No
1224,Unknown,20,higher_BSc,science,no,county_059,110.45,never_changed,<1,157,0,1000-4999,private_company,No
1225,Male,48,higher_BSc,science,no,county_118,162.84,>4,>20,69,0,<10,private_company,No
1226,Male,21,higher_BSc,humanities,no,county_046,137.35,1,<1,65,1,1000-4999,private_company,No
1227,Male,42,higher_MSc,science,no,county_093,158.77,1,18,50,1,100-500,private_company,No
1228,Male,27,higher_BSc,science,no,county_029,141.95,never_changed,4,52,0,unknown,no_information,Yes
1229,Male,25,higher_MSc,science,no,county_059,110.45,>4,5,108,1,50-99,private_company,Yes
1230,Male,33,higher_BSc,science,no,county_062,120.71,1,10,24,1,10-49,startup_with_funding,No
1231,Male,28,higher_BSc,science,no,county_120,98.77,2,9,96,1,<10,private_company,Yes
1232,Male,27,secondary,no_information,full_time,county_110,163.9,1,5,56,0,unknown,no_information,No
1233,Male,48,higher_BSc,science,no,county_075,161.07,>4,>20,60,1,10-49,private_company,No
1234,Male,28,higher_BSc,science,no_information,county_046,137.35,1,5,98,1,50-99,no_information,No
1235,Male,34,secondary,no_information,part_time,county_053,166.2,2,13,12,1,100-500,private_company,No
1236,Unknown,46,higher_BSc,science,no,county_118,162.84,>4,>20,39,1,500-999,private_company,No
1237,Female,36,higher_BSc,science,no,county_075,161.07,1,14,246,1,10000+,private_company,No
1238,Unknown,29,higher_BSc,science,no,county_119,142.31,never_changed,7,10,1,unknown,no_information,No
1239,Male,29,higher_BSc,science,no,county_118,162.84,4,9,28,1,10000+,private_company,No
1240,Unknown,24,higher_BSc,science,full_time,county_059,110.45,unknown,<1,18,0,unknown,no_information,Yes
1241,Male,42,higher_MSc,science,no,county_032,161.6,2,18,11,1,10-49,startup_with_funding,No
1242,Male,49,higher_BSc,science,no,county_075,161.07,4,>20,42,1,100-500,private_company,No
1243,Male,33,higher_MSc,science,no,county_059,110.45,2,9,246,1,50-99,private_company,No
1244,Unknown,29,higher_BSc,science,no,county_117,163.55,1,5,34,1,50-99,private_company,Yes
1245,Female,31,higher_MSc,science,no,county_118,162.84,2,7,37,1,10000+,private_company,No
1246,Unknown,23,higher_MSc,science,full_time,county_022,133.46,4,4,82,1,50-99,private_company,No
1247,Male,44,higher_BSc,humanities,no,county_118,162.84,>4,>20,94,1,100-500,private_company,No
1248,Unknown,27,no_information,no_information,no,county_112,97.35,3,6,56,1,10-49,private_company,Yes
1249,Male,34,higher_BSc,science,part_time,county_007,123.55,1,9,42,1,unknown,no_information,No
1250,Male,28,higher_BSc,science,no,county_110,163.9,1,6,6,1,1000-4999,private_company,No
1251,Unknown,25,higher_BSc,science,full_time,county_059,110.45,never_changed,3,10,0,unknown,no_information,Yes
1252,Male,37,higher_BSc,science,no,county_118,162.84,>4,13,140,1,100-500,private_company,No
1253,Female,26,secondary,no_information,full_time,county_028,151.34,never_changed,3,56,0,unknown,no_information,No
1254,Male,30,higher_BSc,science,full_time,county_118,162.84,4,7,33,1,1000-4999,private_company,No
1255,Male,25,higher_BSc,arts,full_time,county_059,110.45,never_changed,1,42,0,unknown,private_company,No
1256,Unknown,31,higher_MSc,science,full_time,county_110,163.9,unknown,10,31,1,unknown,public_sector,No
1257,Unknown,39,higher_MSc,science,no,county_110,163.9,1,19,23,1,5000-9999,private_company,No
1258,Male,39,higher_BSc,science,no,county_093,158.77,>4,15,153,1,50-99,private_company,No
1259,Male,31,Phd,science,no,county_118,162.84,1,10,21,0,unknown,no_information,Yes
1260,Unknown,27,higher_BSc,science,full_time,county_059,110.45,never_changed,3,44,0,unknown,no_information,No
1261,Male,37,higher_MSc,science,no,county_110,163.9,4,12,34,1,50-99,private_company,No
1262,Male,49,higher_BSc,science,no,county_020,166.2,1,>20,22,1,10-49,private_company,No
1263,Unknown,26,no_information,no_information,no_information,county_118,162.84,unknown,4,138,0,unknown,no_information,No
1264,Male,47,higher_MSc,science,full_time,county_117,163.55,2,>20,24,0,500-999,NGO,No
1265,Male,40,higher_MSc,science,no,county_024,156.47,4,18,111,1,unknown,no_information,No
1266,Male,32,higher_BSc,science,no,county_064,145.85,>4,12,28,1,500-999,private_company,Yes
1267,Unknown,27,higher_BSc,science,no,county_059,110.45,1,4,23,1,50-99,private_company,Yes
1268,Male,48,higher_MSc,science,no,county_072,159.83,1,>20,61,1,1000-4999,private_company,No
1269,Male,26,higher_BSc,science,no,county_087,128.68,2,7,56,1,<10,startup_with_funding,No
1270,Unknown,44,higher_BSc,science,no,county_074,162.84,>4,>20,72,1,50-99,private_company,Yes
1271,Male,32,higher_BSc,science,no,county_062,120.71,1,12,19,1,500-999,public_sector,No
1272,Male,40,higher_BSc,science,no,county_118,162.84,>4,15,242,1,10000+,private_company,No
1273,Male,35,higher_BSc,science,full_time,county_058,159.12,2,10,108,1,<10,startup_with_funding,No
1274,Male,23,higher_BSc,science,full_time,county_007,123.55,1,<1,74,0,unknown,no_information,Yes
1275,Male,30,higher_BSc,science,no,county_110,163.9,2,6,9,1,10-49,private_company,No
1276,Unknown,31,higher_BSc,business,no,county_074,162.84,1,10,10,1,unknown,no_information,Yes
1277,Unknown,27,higher_BSc,science,no,county_087,128.68,3,4,94,1,50-99,private_company,Yes
1278,Male,39,higher_BSc,science,no,county_118,162.84,1,17,39,1,100-500,private_company,No
1279,Male,49,higher_BSc,science,no,county_074,162.84,>4,>20,18,1,10-49,private_company,No
1280,Unknown,29,higher_MSc,science,no,county_059,110.45,2,7,20,1,50-99,no_information,No
1281,Male,41,higher_BSc,science,no,county_059,110.45,>4,19,50,1,100-500,private_company,Yes
1282,Male,21,secondary,no_information,no,county_059,110.45,never_changed,2,49,0,unknown,no_information,No
1283,Unknown,24,higher_MSc,science,part_time,county_059,110.45,1,3,55,1,500-999,private_company,Yes
1284,Male,45,Phd,science,no,county_081,123.55,4,>20,20,1,unknown,no_information,No
1285,Other,27,secondary,no_information,no,county_110,163.9,3,5,39,0,1000-4999,private_company,No
1286,Unknown,33,higher_MSc,science,full_time,county_042,128.32,1,8,27,0,unknown,no_information,No
1287,Male,44,higher_MSc,science,no,county_040,134.87,>4,>20,15,1,<10,private_company,No
1288,Male,25,higher_BSc,science,no,county_059,110.45,1,5,21,1,10000+,private_company,Yes
1289,Male,26,secondary,no_information,part_time,county_112,97.35,1,4,32,1,unknown,no_information,Yes
1290,Male,34,higher_BSc,science,full_time,county_109,139.65,1,14,130,1,10000+,private_company,No
1291,Unknown,26,no_information,no_information,full_time,county_044,99.65,1,2,20,0,10-49,no_information,Yes
1292,Unknown,33,higher_BSc,science,full_time,county_117,163.55,2,9,102,0,unknown,no_information,No
1293,Male,28,higher_BSc,science,no,county_019,123.55,never_changed,7,139,1,10000+,private_company,No
1294,Male,31,higher_BSc,science,no,county_118,162.84,>4,7,7,1,unknown,private_company,No
1295,Male,50,Phd,science,no,county_032,161.6,4,>20,78,0,1000-4999,public_sector,No
1296,Male,37,higher_BSc,science,no,county_118,162.84,1,14,44,1,unknown,no_information,No
1297,Male,31,higher_BSc,science,no,county_075,161.07,4,11,196,1,50-99,private_company,No
1298,Unknown,25,no_information,no_information,full_time,county_107,123.55,1,1,112,1,<10,startup_wo_funding,No
1299,Unknown,28,higher_BSc,science,part_time,county_059,110.45,unknown,5,55,1,1000-4999,private_company,No
1300,Male,49,higher_BSc,science,no,county_118,162.84,>4,>20,31,1,500-999,startup_with_funding,No
1301,Male,32,higher_BSc,science,no,county_022,133.46,1,9,8,1,<10,NGO,No
1302,Male,36,higher_BSc,science,no,county_118,162.84,>4,12,38,1,50-99,private_company,No
1303,Female,28,higher_MSc,science,no,county_042,128.32,2,9,52,0,50-99,private_company,No
1304,Male,35,higher_BSc,science,no,county_118,162.84,1,11,16,1,<10,private_company,No
1305,Female,27,higher_BSc,humanities,no,county_118,162.84,1,4,162,1,50-99,startup_with_funding,No
1306,Male,29,higher_BSc,science,full_time,county_009,163.72,2,7,78,0,unknown,no_information,Yes
1307,Male,31,higher_MSc,science,no,county_022,133.46,1,10,10,1,10000+,private_company,No
1308,Unknown,25,higher_BSc,science,no,county_059,110.45,never_changed,<1,25,1,10000+,private_company,No
1309,Other,47,no_information,no_information,no_information,county_094,123.55,never_changed,unknown,49,0,unknown,no_information,No
1310,Male,46,secondary,no_information,no,county_030,117.88,3,>20,116,1,10000+,private_company,No
1311,Unknown,30,higher_MSc,science,full_time,county_059,110.45,4,6,35,1,1000-4999,private_company,Yes
1312,Unknown,29,higher_MSc,science,no,county_093,158.77,never_changed,5,15,1,5000-9999,private_company,No
1313,Male,42,higher_BSc,science,no,county_075,161.07,2,17,62,1,unknown,no_information,No
1314,Male,25,higher_BSc,science,full_time,county_059,110.45,1,2,56,1,10-49,startup_wo_funding,No
1315,Unknown,39,higher_MSc,science,no,county_076,149.21,2,18,17,1,50-99,startup_with_funding,No
1316,Male,30,higher_MSc,science,no,county_028,151.34,1,10,70,1,100-500,private_company,No
1317,Female,24,higher_MSc,science,no,county_118,162.84,1,3,100,1,unknown,no_information,Yes
1318,Male,22,secondary,no_information,full_time,county_084,98.24,never_changed,2,17,0,unknown,no_information,No
1319,Male,33,higher_MSc,science,no,county_059,110.45,1,8,43,1,50-99,private_company,Yes
1320,Male,25,higher_BSc,science,full_time,county_075,161.07,never_changed,4,21,0,unknown,no_information,Yes
1321,Unknown,23,higher_BSc,humanities,no,county_080,123.55,2,3,24,1,1000-4999,private_company,No
1322,Male,27,higher_BSc,science,full_time,county_010,123.55,1,2,170,1,5000-9999,private_company,No
1323,Unknown,41,higher_MSc,science,no,county_112,97.35,>4,16,12,1,50-99,private_company,Yes
1324,Male,32,higher_MSc,science,no,county_041,157.53,never_changed,8,38,1,100-500,private_company,No
1325,Unknown,20,no_information,no_information,no,county_080,123.55,unknown,<1,40,0,unknown,no_information,No
1326,Male,24,secondary,no_information,full_time,county_110,163.9,1,3,116,0,unknown,no_information,No
1327,Male,33,higher_BSc,science,no,county_040,134.87,2,9,67,1,10000+,private_company,No
1328,Unknown,36,higher_BSc,science,no,county_118,162.84,never_changed,15,166,1,1000-4999,private_company,No
1329,Male,22,higher_MSc,science,no,county_118,162.84,1,2,22,1,100-500,private_company,Yes
1330,Female,36,higher_MSc,science,no,county_029,141.95,1,12,88,1,unknown,no_information,No
1331,Unknown,38,higher_MSc,science,full_time,county_093,158.77,>4,14,33,1,<10,private_company,No
1332,Unknown,26,higher_BSc,science,no,county_059,110.45,1,3,9,1,50-99,startup_with_funding,Yes
1333,Male,36,higher_MSc,science,no,county_040,134.87,1,11,6,1,unknown,no_information,Yes
1334,Unknown,29,secondary,no_information,full_time,county_029,141.95,never_changed,7,83,0,100-500,private_company,No
1335,Male,25,secondary,no_information,full_time,county_117,163.55,1,3,17,0,50-99,startup_with_funding,No
1336,Unknown,22,higher_MSc,other,part_time,county_050,79.3,1,2,23,0,<10,NGO,Yes
1337,Male,41,higher_MSc,science,no,county_110,163.9,>4,18,26,1,50-99,private_company,No
1338,Male,35,secondary,no_information,no_information,county_075,161.07,never_changed,10,42,0,unknown,no_information,No
1339,Male,28,higher_MSc,science,no,county_059,110.45,never_changed,4,54,1,50-99,private_company,Yes
1340,Male,35,higher_BSc,science,no,county_075,161.07,>4,11,17,1,50-99,private_company,No
1341,Male,26,higher_BSc,science,no,county_074,162.84,3,7,52,1,50-99,public_sector,No
1342,Male,22,higher_BSc,science,no,county_112,97.35,2,3,64,1,50-99,private_company,No
1343,Unknown,33,higher_BSc,science,no_information,county_082,121.95,1,9,63,1,50-99,startup_wo_funding,No
1344,Unknown,22,secondary,no_information,part_time,county_022,133.46,1,2,38,1,100-500,no_information,No
1345,Male,29,higher_BSc,science,no,county_028,151.34,1,10,161,1,10-49,startup_with_funding,No
1346,Male,34,higher_BSc,science,no,county_059,110.45,>4,10,85,1,10000+,private_company,No
1347,Unknown,47,higher_BSc,science,no,county_118,162.84,1,>20,111,1,500-999,private_company,No
1348,Male,29,higher_BSc,science,no,county_118,162.84,4,7,4,1,1000-4999,private_company,Yes
1349,Male,24,secondary,no_information,full_time,county_075,161.07,never_changed,4,108,0,unknown,private_company,No
1350,Male,33,higher_MSc,science,full_time,county_117,163.55,1,9,45,0,100-500,public_sector,Yes
1351,Unknown,27,secondary,no_information,no,county_075,161.07,never_changed,2,16,0,unknown,no_information,Yes
1352,Male,34,higher_BSc,science,no,county_038,158.59,4,14,28,1,10-49,private_company,Yes
1353,Male,31,higher_MSc,science,no,county_093,158.77,3,11,56,1,<10,private_company,No
1354,Male,38,higher_BSc,science,full_time,county_110,163.9,2,14,52,1,100-500,private_company,No
1355,Other,30,higher_BSc,science,no,county_118,162.84,1,6,14,1,50-99,startup_with_funding,No
1356,Male,27,primary,no_information,no,county_112,97.35,1,3,12,1,50-99,private_company,No
1357,Unknown,31,higher_MSc,science,no,county_028,151.34,2,8,41,1,unknown,no_information,Yes
1358,Male,25,higher_BSc,science,no,county_059,110.45,1,4,166,1,<10,private_company,No
1359,Male,43,higher_MSc,science,no,county_116,140.54,1,19,79,1,50-99,private_company,No
1360,Male,32,higher_MSc,science,no,county_092,147.97,2,9,14,1,<10,private_company,No
1361,Female,37,higher_BSc,science,no,county_118,162.84,1,13,7,1,100-500,private_company,No
1362,Unknown,30,secondary,no_information,no,county_059,110.45,1,10,48,1,unknown,no_information,Yes
1363,Male,47,higher_MSc,science,no,county_121,157,>4,>20,112,1,unknown,no_information,No
1364,Male,46,higher_BSc,science,no,county_074,162.84,2,>20,32,0,unknown,no_information,No
1365,Male,30,higher_MSc,humanities,no,county_076,149.21,2,6,332,0,10000+,private_company,No
1366,Unknown,38,higher_MSc,science,no,county_032,161.6,1,18,43,1,100-500,no_information,No
1367,Male,29,higher_BSc,science,no,county_034,153.28,1,9,66,1,<10,private_company,No
1368,Male,27,secondary,no_information,no,county_075,161.07,1,8,65,1,unknown,no_information,No
1369,Male,29,higher_BSc,science,no,county_075,161.07,3,5,28,1,50-99,private_company,No
1370,Unknown,30,higher_MSc,science,no,county_118,162.84,2,6,12,0,unknown,no_information,Yes
1371,Male,50,higher_BSc,science,no,county_118,162.84,>4,>20,11,1,50-99,private_company,No
1372,Unknown,31,no_information,no_information,full_time,county_059,110.45,never_changed,7,48,0,unknown,private_company,Yes
1373,Unknown,31,higher_BSc,science,no,county_118,162.84,2,7,99,1,500-999,startup_with_funding,No
1374,Unknown,35,higher_BSc,science,no,county_075,161.07,1,14,45,1,unknown,private_company,No
1375,Male,33,higher_BSc,science,part_time,county_073,135.76,3,11,36,1,100-500,private_company,Yes
1376,Unknown,38,higher_BSc,other,no,county_059,110.45,never_changed,15,18,0,unknown,no_information,No
1377,Unknown,45,higher_MSc,science,no,county_110,163.9,>4,>20,11,0,unknown,no_information,No
1378,Male,28,higher_BSc,science,no,county_059,110.45,1,4,218,0,500-999,private_company,No
1379,Unknown,35,higher_BSc,science,no,county_011,163.37,4,14,18,1,500-999,startup_with_funding,No
1380,Male,28,higher_BSc,science,no,county_075,161.07,1,4,87,1,500-999,private_company,No
1381,Unknown,24,secondary,no_information,full_time,county_059,110.45,unknown,3,52,0,unknown,no_information,No
1382,Unknown,45,Phd,science,no,county_118,162.84,4,>20,94,1,10000+,private_company,No
1383,Unknown,49,secondary,no_information,no,county_110,163.9,1,>20,36,1,10-49,private_company,No
1384,Unknown,23,secondary,no_information,no,county_110,163.9,1,4,126,0,unknown,no_information,Yes
1385,Unknown,44,Phd,science,no,county_118,162.84,3,>20,84,1,1000-4999,private_company,No
1386,Male,23,secondary,no_information,full_time,county_059,110.45,never_changed,3,28,0,unknown,no_information,Yes
1387,Male,30,higher_MSc,science,no,county_029,141.95,1,7,334,1,10000+,no_information,No
1388,Female,29,higher_BSc,science,no,county_074,162.84,1,6,36,1,50-99,private_company,No
1389,Male,37,higher_MSc,science,no,county_093,158.77,2,14,20,1,10-49,startup_wo_funding,No
1390,Male,27,higher_MSc,science,no,county_093,158.77,1,6,121,1,5000-9999,private_company,No
1391,Unknown,30,higher_BSc,science,full_time,county_118,162.84,unknown,7,47,0,unknown,no_information,No
1392,Unknown,27,secondary,no_information,full_time,county_110,163.9,1,4,166,0,500-999,public_sector,No
1393,Male,49,Phd,science,no,county_053,166.2,>4,>20,161,1,1000-4999,public_sector,No
1394,Male,37,higher_MSc,science,no,county_028,151.34,1,16,8,1,unknown,no_information,No
1395,Male,37,higher_BSc,science,full_time,county_075,161.07,2,14,46,1,unknown,no_information,Yes
1396,Male,24,secondary,no_information,full_time,county_059,110.45,never_changed,4,16,0,unknown,no_information,No
1397,Unknown,36,Phd,science,no,county_118,162.84,1,17,336,1,50-99,private_company,No
1398,Female,34,higher_MSc,science,full_time,county_110,163.9,1,10,196,0,unknown,public_sector,No
1399,Male,36,higher_MSc,science,no,county_108,131.51,4,14,47,1,100-500,private_company,No
1400,Male,38,higher_MSc,science,no,county_075,161.07,1,16,163,1,<10,startup_wo_funding,No
1401,Male,30,higher_BSc,science,no,county_075,161.07,1,10,74,1,500-999,private_company,No
1402,Female,23,higher_MSc,humanities,no,county_011,163.37,2,4,48,1,100-500,public_sector,No
1403,Unknown,28,higher_MSc,science,no,county_059,110.45,1,5,57,1,10-49,startup_with_funding,Yes
1404,Male,46,higher_BSc,science,no,county_118,162.84,2,>20,46,1,50-99,private_company,No
1405,Male,26,secondary,no_information,full_time,county_059,110.45,never_changed,2,82,0,unknown,no_information,No
1406,Unknown,22,higher_BSc,science,full_time,county_059,110.45,never_changed,2,84,0,unknown,private_company,Yes
1407,Unknown,29,higher_MSc,science,full_time,county_118,162.84,never_changed,6,117,0,unknown,no_information,Yes
1408,Male,33,higher_BSc,science,no,county_074,162.84,1,11,72,1,<10,private_company,No
1409,Male,29,higher_BSc,science,no,county_030,117.88,2,7,68,1,100-500,private_company,No
1410,Unknown,25,higher_BSc,science,no,county_059,110.45,2,4,250,1,10000+,private_company,Yes
1411,Unknown,27,higher_MSc,science,no,county_099,93.28,1,5,46,1,500-999,private_company,Yes
1412,Male,27,higher_BSc,science,no,county_118,162.84,3,7,25,1,1000-4999,private_company,No
1413,Female,28,higher_BSc,science,no,county_118,162.84,1,8,46,1,unknown,no_information,Yes
1414,Male,50,higher_MSc,science,no,county_118,162.84,>4,>20,67,1,100-500,private_company,No
1415,Male,45,higher_BSc,science,no,county_020,166.2,>4,>20,20,1,1000-4999,private_company,Yes
1416,Male,39,secondary,no_information,part_time,county_049,158.06,4,16,26,1,10-49,private_company,No
1417,Male,24,higher_BSc,business,full_time,county_110,163.9,1,1,86,0,10-49,startup_with_funding,No
1418,Male,44,higher_BSc,science,no,county_118,162.84,2,20,6,1,50-99,private_company,No
1419,Male,27,primary,no_information,no,county_122,158.42,never_changed,7,232,0,unknown,no_information,No
1420,Male,29,higher_BSc,science,no,county_118,162.84,1,4,67,1,50-99,private_company,No
1421,Male,26,higher_BSc,science,no,county_059,110.45,never_changed,3,108,0,unknown,no_information,No
1422,Male,37,higher_MSc,science,no,county_118,162.84,1,18,9,1,10000+,private_company,No
1423,Unknown,28,higher_BSc,science,no,county_059,110.45,1,8,41,1,10-49,private_company,No
1424,Male,25,higher_BSc,science,no,county_059,110.45,1,3,8,1,unknown,no_information,No
1425,Male,39,higher_MSc,science,no,county_093,158.77,3,19,12,1,10-49,startup_with_funding,No
1426,Male,30,higher_BSc,science,no,county_059,110.45,1,6,56,1,10000+,private_company,Yes
1427,Male,29,higher_BSc,science,no,county_120,98.77,1,6,50,1,unknown,no_information,Yes
1428,Male,27,higher_BSc,science,full_time,county_038,158.59,never_changed,7,78,0,unknown,no_information,Yes
1429,Male,45,Phd,science,no,county_118,162.84,>4,>20,7,0,5000-9999,NGO,No
1430,Unknown,37,higher_BSc,science,no,county_029,141.95,1,15,156,1,100-500,private_company,No
1431,Unknown,36,higher_BSc,science,no,county_118,162.84,4,14,9,1,500-999,private_company,No
1432,Male,42,higher_MSc,science,no,county_110,163.9,>4,17,89,1,50-99,private_company,No
1433,Unknown,22,higher_BSc,science,no,county_119,142.31,>4,<1,142,0,unknown,no_information,Yes
1434,Unknown,49,Phd,science,no,county_024,156.47,3,>20,28,0,unknown,public_sector,No
1435,Male,39,higher_BSc,other,no,county_117,163.55,>4,16,62,1,50-99,private_company,No
1436,Male,29,higher_BSc,science,no,county_020,166.2,1,6,12,1,unknown,public_sector,Yes
1437,Male,35,higher_MSc,science,no,county_110,163.9,1,11,12,1,1000-4999,private_company,No
1438,Unknown,45,Phd,humanities,no,county_049,158.06,>4,>20,11,1,10000+,private_company,No
1439,Male,45,secondary,no_information,no,county_119,142.31,1,>20,110,1,50-99,startup_with_funding,No
1440,Male,26,higher_BSc,science,full_time,county_041,157.53,3,5,89,0,unknown,no_information,Yes
1441,Male,38,secondary,no_information,no,county_110,163.9,>4,14,74,1,100-500,private_company,No
1442,Unknown,39,higher_MSc,science,full_time,county_118,162.84,4,19,36,0,unknown,public_sector,No
1443,Female,48,higher_MSc,science,no,county_002,167.97,2,>20,111,1,50-99,private_company,No
1444,Male,32,higher_BSc,science,no,county_032,161.6,1,8,141,1,5000-9999,private_company,No
1445,Unknown,25,secondary,no_information,full_time,county_082,121.95,never_changed,1,27,0,unknown,no_information,No
1446,Unknown,23,higher_MSc,science,full_time,county_112,97.35,1,2,14,0,<10,NGO,Yes
1447,Male,25,secondary,no_information,no,county_059,110.45,never_changed,2,13,0,unknown,no_information,No
1448,Male,38,higher_BSc,science,no,county_024,156.47,>4,18,18,0,unknown,no_information,No
1449,Female,31,higher_BSc,science,no,county_059,110.45,>4,11,43,1,50-99,private_company,No
1450,Male,27,higher_BSc,science,no,county_059,110.45,2,7,55,1,500-999,private_company,Yes
1451,Male,35,higher_MSc,science,no,county_118,162.84,>4,15,64,1,10000+,private_company,No
